Majority protein IDs,First Majority protein IDs,Fasta headers,Ratio H/L MSZ08-1_Insol,Ratio H/L MSZ08-2_Insol,Ratio H/L MSZ08-3_Insol,Log2 Ratio H/L MSZ08-1_Insol,Log2 Ratio H/L MSZ08-2_Insol,Log2 Ratio H/L MSZ08-3_Insol,rank,percent rank,Average Log2 Ratio H/L Insol,Insol Average after TCL Median correction
YKL130C,YKL130C,">YKL130C SHE2 SGDID:S000001613, Chr XI from 196028-195288, Genome Release 64-1-1, reverse complement, Verified ORF, RNA-binding protein that binds specific mRNAs and interacts with She3p; part of the mRNA localization machinery that restricts accumulation",6.5288,7.3425,13.264,2.706817847,2.876271361,3.729444007,1019,0.398358092,3.104177738,3.623912618
YER077C,YER077C,">YER077C YER077C SGDID:S000000879, Chr V from 316600-314534, Genome Release 64-1-1, reverse complement, Uncharacterized ORF, Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the mitochondrion; null mutation",11.403,3.9662,14.008,3.511341526,1.987757429,3.808179084,1020,0.398749023,3.102426013,3.622160892
YGL164C,YGL164C,">YGL164C YRB30 SGDID:S000003132, Chr VII from 193300-191978, Genome Release 64-1-1, reverse complement, Verified ORF, RanGTP-binding protein, inhibits RanGAP1 (Rna1p)-mediated GTP hydrolysis of RanGTP (Gsp1p); shares similarity to proteins in other fungi ",8.5284,9.284,7.99,3.092275105,3.214746523,2.998195503,1021,0.399139953,3.101739044,3.621473923
YMR272C,YMR272C,">YMR272C SCS7 SGDID:S000004885, Chr XIII from 810777-809623, Genome Release 64-1-1, reverse complement, Verified ORF, Sphingolipid alpha-hydroxylase, functions in the alpha-hydroxylation of sphingolipid-associated very long chain fatty acids, has both cyt",7.7549,9.0869,8.9698,2.955108178,3.183788202,3.165075818,1022,0.399530884,3.101324066,3.621058945
YBR122C,YBR122C,">YBR122C MRPL36 SGDID:S000000326, Chr II from 484503-483970, Genome Release 64-1-1, reverse complement, Verified ORF, Mitochondrial ribosomal protein of the large subunit; overproduction suppresses mutations in the COX2 leader peptide-encoding region",7.1721,7.5445,11.68,2.842395604,2.915425292,3.545968369,1023,0.399921814,3.101263088,3.620997967
YCR046C,YCR046C,">YCR046C IMG1 SGDID:S000000642, Chr III from 210423-209914, Genome Release 64-1-1, reverse complement, Verified ORF, Mitochondrial ribosomal protein of the large subunit, required for respiration and for maintenance of the mitochondrial genome",9.1834,9.1778,7.4916,3.199028386,3.198148368,2.905273872,1024,0.400312744,3.100816875,3.620551755
YER022W,YER022W,">YER022W SRB4 SGDID:S000000824, Chr V from 198812-200875, Genome Release 64-1-1, Verified ORF, Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; essential for transcriptio",6.924,7.0194,12.869,2.791605725,2.811347718,3.685828047,1025,0.400703675,3.096260496,3.615995376
YKR080W,YKR080W,">YKR080W MTD1 SGDID:S000001788, Chr XI from 590395-591357, Genome Release 64-1-1, Verified ORF, NAD-dependent 5,10-methylenetetrahydrafolate dehydrogenase, plays a catalytic role in oxidation of cytoplasmic one-carbon units; expression is regulated by Bas",7.6688,9.9113,8.1951,2.939000845,3.309074299,3.034761554,1026,0.401094605,3.094278899,3.614013778
YOL010W,YOL010W,">YOL010W RCL1 SGDID:S000005370, Chr XV from 307938-309041, Genome Release 64-1-1, Verified ORF, Subunit of U3-containing 90S preribosome processome complex involved in 18S rRNA biogenesis and small ribosomal subunit assembly; stimulates Bms1p GTPase and U",6.5472,10.016,9.4673,2.71087805,3.324234562,3.242953039,1027,0.401485536,3.09268855,3.61242343
YPR189W,YPR189W,">YPR189W SKI3 SGDID:S000006393, Chr XVI from 912664-916962, Genome Release 64-1-1, Verified ORF, Ski complex component and TPR protein, mediates 3-5 RNA degradation by the cytoplasmic exosome; null mutants have superkiller phenotype of increased viral d",8.2186,9.7636,7.6833,3.038892658,3.287413191,2.941726086,1028,0.401876466,3.089343979,3.609078858
YHR023W,YHR023W,">YHR023W MYO1 SGDID:S000001065, Chr VIII from 151666-157452, Genome Release 64-1-1, Verified ORF, Type II myosin heavy chain, required for wild-type cytokinesis and cell separation; localizes to the actomyosin ring; binds to myosin light chains Mlc1p and ",14.352,15.574,2.7482,3.84317989,3.961067626,1.458487,1029,0.402267396,3.087578172,3.607313051
YKL073W,YKL073W,">YKL073W LHS1 SGDID:S000001556, Chr XI from 296430-299075, Genome Release 64-1-1, Verified ORF, Molecular chaperone of the endoplasmic reticulum lumen, involved in polypeptide translocation and folding; nucleotide exchange factor for the ER lumenal Hsp70 ",11.813,7.2365,7.1698,3.562303489,2.855292093,2.841932876,1030,0.402658327,3.086509486,3.606244365
YAL060W,YAL060W,">YAL060W BDH1 SGDID:S000000056, Chr I from 35155-36303, Genome Release 64-1-1, Verified ORF, NAD-dependent (R,R)-butanediol dehydrogenase, catalyzes oxidation of (R,R)-2,3-butanediol to (3R)-acetoin, oxidation of meso-butanediol to (3S)-acetoin, and reduc",9.2596,8.7907,7.4995,3.210949873,3.135978051,2.906794413,1031,0.403049257,3.084574112,3.604308991
YOR181W,YOR181W,">YOR181W LAS17 SGDID:S000005707, Chr XV from 675939-677840, Genome Release 64-1-1, Verified ORF, Actin assembly factor, activates the Arp2/3 protein complex that nucleates branched actin filaments; localizes with the Arp2/3 complex to actin patches; homol",11.122,8.9831,6.0702,3.475344337,3.167213394,2.601744051,1032,0.403440188,3.081433927,3.601168807
YOR296W,YOR296W,">YOR296W YOR296W SGDID:S000005822, Chr XV from 870202-874071, Genome Release 64-1-1, Uncharacterized ORF, Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; expressed during copper starvation; ",9.277,9.7152,6.6948,3.213658341,3.280243696,2.743040957,1033,0.403831118,3.078980998,3.598715877
YKL011C,YKL011C,">YKL011C CCE1 SGDID:S000001494, Chr XI from 421216-420155, Genome Release 64-1-1, reverse complement, Verified ORF, Mitochondrial cruciform cutting endonuclease, cleaves Holliday junctions formed during recombination of mitochondrial DNA",8.3709,9.847,7.3166,3.065382743,3.299684258,2.871173389,1034,0.404222048,3.078746797,3.598481676
YKL094W,YKL094W,">YKL094W YJU3 SGDID:S000001577, Chr XI from 263349-264290, Genome Release 64-1-1, Verified ORF, Monoglyceride lipase (MGL), functional ortholog of mammalian MGL, localizes to lipid particles and membranes, also member of the eukaryotic serine hydrolase fa",9.3081,8.5962,7.5148,3.21848671,3.103699049,2.909734709,1035,0.404612979,3.077306823,3.597041702
YIL005W,YIL005W,">YIL005W EPS1 SGDID:S000001267, Chr IX from 345692-347797, Genome Release 64-1-1, Verified ORF, ER protein with chaperone and co-chaperone activity, involved in retention of resident ER proteins; has a role in recognizing proteins targeted for ER-associat",7.2883,9.5269,8.6319,2.865582344,3.252006846,3.109678151,1036,0.405003909,3.07575578,3.59549066
YKL193C,YKL193C,">YKL193C SDS22 SGDID:S000001676, Chr XI from 79882-78866, Genome Release 64-1-1, reverse complement, Verified ORF, Conserved nuclear regulatory subunit of Glc7p type 1 protein serine-threonine phosphatase (PP1), functions positively with Glc7p to promote ",8.7808,9.7123,6.9738,3.134352387,3.279812985,2.80194499,1037,0.40539484,3.072036787,3.591771667
YNL260C,YNL260C,">YNL260C YNL260C SGDID:S000005204, Chr XIV from 157455-156859, Genome Release 64-1-1, reverse complement, Uncharacterized ORF, Putative protein of unknown function with similarity to a human protein overexpressed in oral cancers; essential gene with defec",1.6276,46.227,7.8562,0.702746186,5.530663834,2.973831658,1038,0.40578577,3.069080559,3.588815438
YER144C,YER144C,">YER144C UBP5 SGDID:S000000946, Chr V from 460223-457806, Genome Release 64-1-1, reverse complement, Verified ORF, Putative ubiquitin-specific protease, closest paralog of Doa4p but has no functional overlap; concentrates at the bud neck",8.1967,7.1758,10.022,3.035043196,2.843139681,3.325098538,1039,0.406176701,3.067760472,3.587495351
YIL009W,YIL009W,">YIL009W FAA3 SGDID:S000001271, Chr IX from 339344-341428, Genome Release 64-1-1, Verified ORF, Long chain fatty acyl-CoA synthetase, activates imported fatty acids; green fluorescent protein (GFP)-fusion protein localizes to the cell periphery",10.796,8.0303,6.7889,3.432424977,3.005453886,2.763177835,1040,0.406567631,3.067018899,3.586753778
YDR226W,YDR226W,">YDR226W ADK1 SGDID:S000002634, Chr IV from 916486-917154, Genome Release 64-1-1, Verified ORF, Adenylate kinase, required for purine metabolism; localized to the cytoplasm and the mitochondria; lacks cleavable signal sequence",21.019,0.54742,50.966,4.393622128,-0.86927995,5.671463225,1041,0.406958561,3.065268467,3.585003347
YKR008W,YKR008W,">YKR008W RSC4 SGDID:S000001716, Chr XI from 452201-454078, Genome Release 64-1-1, Verified ORF, Component of the RSC chromatin remodeling complex; found in close proximity to nucleosomal DNA; displaced from the surface of nucleosomal DNA after chromatin r",6.7245,9.4015,9.2357,2.749427,3.232890956,3.207221311,1042,0.407349492,3.063179756,3.582914635
YKL148C,YKL148C,">YKL148C SDH1 SGDID:S000001631, Chr XI from 171129-169207, Genome Release 64-1-1, reverse complement, Verified ORF, Flavoprotein subunit of succinate dehydrogenase (Sdh1p, Sdh2p, Sdh3p, Sdh4p), which couples the oxidation of succinate to the transfer of e",6.6646,10.069,8.6996,2.736518289,3.331848504,3.120949069,1043,0.407740422,3.063105287,3.582840167
YJR016C,YJR016C,">YJR016C ILV3 SGDID:S000003777, Chr X from 466208-464451, Genome Release 64-1-1, reverse complement, Verified ORF, Dihydroxyacid dehydratase, catalyzes third step in the common pathway leading to biosynthesis of branched-chain amino acids",7.8151,10.028,7.4451,2.966264334,3.325961996,2.896291227,1044,0.408131353,3.062839186,3.582574065
YBR017C,YBR017C,">YBR017C KAP104 SGDID:S000000221, Chr II from 273703-270947, Genome Release 64-1-1, reverse complement, Verified ORF, Transportin or cytosolic karyopherin beta 2; functions in the rg-nuclear localization signal-mediated nuclear import/reimport of mRNA-bin",7.4806,8.7527,8.9097,2.90315399,3.129728123,3.155376855,1045,0.408522283,3.062752989,3.582487869
YHR098C,YHR098C,">YHR098C SFB3 SGDID:S000001140, Chr VIII from 301934-299145, Genome Release 64-1-1, reverse complement, Verified ORF, Component of the Sec23p-Sfb3p heterodimer of the COPII vesicle coat, required for cargo selection during vesicle formation in ER to Golgi",9.7608,7.5221,7.9424,3.286999397,2.911135486,2.989575021,1046,0.408913213,3.062569968,3.582304847
YKL134C,YKL134C,">YKL134C OCT1 SGDID:S000001617, Chr XI from 191442-189124, Genome Release 64-1-1, reverse complement, Verified ORF, Mitochondrial intermediate peptidase, cleaves destabilizing N-terminal residues of a subset of proteins upon import, after their cleavage b",9.8593,7.7902,7.5817,3.30148522,2.961660367,2.922521372,1047,0.409304144,3.061888987,3.581623866
YGR238C,YGR238C,">YGR238C KEL2 SGDID:S000003470, Chr VII from 968687-966039, Genome Release 64-1-1, reverse complement, Verified ORF, Protein that functions in a complex with Kel1p to negatively regulate mitotic exit, interacts with Tem1p and Lte1p; localizes to regions o",27.849,5.8579,3.5389,4.799553619,2.550383565,1.823300996,1048,0.409695074,3.05774606,3.577480939
YBR279W,YBR279W,">YBR279W PAF1 SGDID:S000000483, Chr II from 761257-762594, Genome Release 64-1-1, Verified ORF, Component of the Paf1p complex; binds to and modulates the activity of RNA polymerases I and II; required for expression of a subset of genes, including cell c",6.1092,8.8488,10.627,2.610983471,3.145481822,3.409662477,1049,0.410086005,3.055375923,3.575110803
YDR222W,YDR222W,">YDR222W YDR222W SGDID:S000002630, Chr IV from 910054-911301, Genome Release 64-1-1, Uncharacterized ORF, Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm in a punctate pattern",8.4579,7.5211,9.0151,3.080299503,2.910943679,3.172343495,1050,0.410476935,3.054528892,3.574263772
YCR028C-A,YCR028C-A,">YCR028C-A RIM1 SGDID:S000007222, Chr III from 173115-172950,173440-173199, Genome Release 64-1-1, reverse complement, Verified ORF, Single-stranded DNA-binding protein essential for mitochondrial genome maintenance; involved in mitochondrial DNA replicat",8.7433,8.8966,7.3389,3.128177902,3.153254089,2.875563839,1051,0.410867866,3.052331943,3.572066822
YJL050W,YJL050W,">YJL050W MTR4 SGDID:S000003586, Chr X from 342522-345743, Genome Release 64-1-1, Verified ORF, ATP-dependent 3-5 RNA helicase of the Dead-box family, involved in nuclear RNA processing and degradation both as a component of the TRAMP complex and in TRAM",7.8408,8.9654,8.1093,2.971000861,3.164367952,3.019577385,1052,0.411258796,3.051648733,3.571383612
YLL012W,YLL012W,">YLL012W YEH1 SGDID:S000003935, Chr XII from 125534-127255, Genome Release 64-1-1, Verified ORF, Steryl ester hydrolase, one of three gene products (Yeh1p, Yeh2p, Tgl1p) responsible for steryl ester hydrolase activity and involved in sterol homeostasis; l",12.036,8.8187,5.3297,3.589284107,3.140565998,2.414054328,1053,0.411649726,3.047968144,3.567703024
YPR029C,YPR029C,">YPR029C APL4 SGDID:S000006233, Chr XVI from 626967-624469, Genome Release 64-1-1, reverse complement, Verified ORF, Gamma-adaptin, large subunit of the clathrin-associated protein (AP-1) complex; binds clathrin; involved in vesicle mediated transport",8.1684,8.3825,8.2462,3.030053516,3.067380578,3.043729452,1054,0.412040657,3.047054515,3.566789395
YLR290C,YLR290C,">YLR290C YLR290C SGDID:S000004281, Chr XII from 717978-717145, Genome Release 64-1-1, reverse complement, Uncharacterized ORF, Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-thro",6.3468,9.3202,9.528,2.666029381,3.220360914,3.252173413,1055,0.412431587,3.046187903,3.565922782
YKL129C,YKL129C,">YKL129C MYO3 SGDID:S000001612, Chr XI from 200167-196349, Genome Release 64-1-1, reverse complement, Verified ORF, One of two type I myosins; localizes to actin cortical patches; deletion of MYO3 has little effect on growth, but myo3 myo5 double deletion",6.5866,8.0419,10.639,2.719533939,3.007536397,3.411290648,1056,0.412822518,3.046120328,3.565855207
YBR049C,YBR049C,">YBR049C REB1 SGDID:S000000253, Chr II from 336818-334386, Genome Release 64-1-1, reverse complement, Verified ORF, RNA polymerase I enhancer binding protein; DNA binding protein which binds to genes transcribed by both RNA polymerase I and RNA polymerase",7.7486,12.853,5.6406,2.953935671,3.684033231,2.495848633,1057,0.413213448,3.044605845,3.564340724
YGR111W,YGR111W,">YGR111W YGR111W SGDID:S000003343, Chr VII from 715828-717030, Genome Release 64-1-1, Uncharacterized ORF, Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to both the cytoplasm and the nucleus",16.014,1.7227,20.161,4.001261806,0.784671485,4.333495294,1058,0.413604378,3.039809528,3.559544408
YPL083C,YPL083C,">YPL083C SEN54 SGDID:S000006004, Chr XVI from 398105-396702, Genome Release 64-1-1, reverse complement, Verified ORF, Subunit of the tRNA splicing endonuclease, which is composed of Sen2p, Sen15p, Sen34p, and Sen54p",8.7403,9.2188,6.8556,3.127682799,3.204578969,2.777282936,1059,0.413995309,3.036514901,3.556249781
YDR427W,YDR427W,">YDR427W RPN9 SGDID:S000002835, Chr IV from 1322205-1323386, Genome Release 64-1-1, Verified ORF, Non-ATPase regulatory subunit of the 26S proteasome, has similarity to putative proteasomal subunits in other species; null mutant is temperature sensitive a",8.0324,9.592,7.1689,3.005831115,3.261831659,2.841751768,1060,0.414386239,3.036471514,3.556206393
YPR032W,YPR032W,">YPR032W SRO7 SGDID:S000006236, Chr XVI from 634123-637224, Genome Release 64-1-1, Verified ORF, Effector of Rab GTPase Sec4p, forms a complex with Sec4p and t-SNARE Sec9p; involved in exocytosis and docking and fusion of post-Golgi vesicles with plasma m",6.9493,7.391,10.711,2.796867663,2.885769574,3.421021274,1061,0.41477717,3.034552837,3.554287716
YPL101W,YPL101W,">YPL101W ELP4 SGDID:S000006022, Chr XVI from 360209-361579, Genome Release 64-1-1, Verified ORF, Subunit of Elongator complex, which is required for modification of wobble nucleosides in tRNA; required for Elongator structural integrity",8.5636,10.622,6.0144,3.09821741,3.408983529,2.58842082,1062,0.4151681,3.03187392,3.551608799
YAL035W,YAL035W,">YAL035W FUN12 SGDID:S000000033, Chr I from 76427-79435, Genome Release 64-1-1, Verified ORF, GTPase, required for general translation initiation by promoting Met-tRNAiMet binding to ribosomes and ribosomal subunit joining; homolog of bacterial IF2",6.0411,8.354,10.768,2.594811268,3.062467144,3.42867841,1063,0.41555903,3.028652274,3.548387153
YNL197C,YNL197C,">YNL197C WHI3 SGDID:S000005141, Chr XIV from 269593-267608, Genome Release 64-1-1, reverse complement, Verified ORF, RNA binding protein that sequesters CLN3 mRNA in cytoplasmic foci; cytoplasmic retention factor for Cdc28p and associated cyclins; regulat",7.8842,7.7064,8.8656,2.978964374,2.946057071,3.148218272,1064,0.415949961,3.024413239,3.544148118
YJL047C,YJL047C,">YJL047C RTT101 SGDID:S000003583, Chr X from 352108-349580, Genome Release 64-1-1, reverse complement, Verified ORF, Cullin subunit of a Roc1p-dependent E3 ubiquitin ligase complex with a role in anaphase progression; implicated in Mms22-dependent DNA rep",6.4555,9.239,8.9918,2.690528841,3.207736707,3.168609947,1065,0.416340891,3.022291832,3.542026711
YCL016C,YCL016C,">YCL016C DCC1 SGDID:S000000521, Chr III from 95763-94621, Genome Release 64-1-1, reverse complement, Verified ORF, Subunit of a complex with Ctf8p and Ctf18p that shares some components with Replication Factor C, required for sister chromatid cohesion and",9.4572,7.8291,7.2381,3.241413107,2.968846471,2.85561104,1066,0.416731822,3.021956873,3.541691752
YGR170W,YGR170W,">YGR170W PSD2 SGDID:S000003402, Chr VII from 837142-840558, Genome Release 64-1-1, Verified ORF, Phosphatidylserine decarboxylase of the Golgi and vacuolar membranes, converts phosphatidylserine to phosphatidylethanolamine",6.2742,9.1711,9.3091,2.649431518,3.197094784,3.218641695,1067,0.417122752,3.021722666,3.541457545
YLR398C,YLR398C,">YLR398C SKI2 SGDID:S000004390, Chr XII from 919019-915156, Genome Release 64-1-1, reverse complement, Verified ORF, Ski complex component and putative RNA helicase, mediates 3-5 RNA degradation by the cytoplasmic exosome; null mutants have superkiller ",6.6662,9.3155,8.5962,2.736864602,3.219633206,3.103699049,1068,0.417513683,3.020065619,3.539800498
YNL090W,YNL090W,">YNL090W RHO2 SGDID:S000005034, Chr XIV from 456565-457143, Genome Release 64-1-1, Verified ORF, Non-essential small GTPase of the Rho/Rac subfamily of Ras-like proteins, involved in the establishment of cell polarity and in microtubule assembly",6.9147,10.221,7.4925,2.78966666,3.353464448,2.905447179,1069,0.417904613,3.016192762,3.535927642
YGR233C,YGR233C,">YGR233C PHO81 SGDID:S000003465, Chr VII from 958210-954674, Genome Release 64-1-1, reverse complement, Verified ORF, Cyclin-dependent kinase (CDK) inhibitor, regulates Pho80p-Pho85p and Pcl7p-Pho85p cyclin-CDK complexes in response to phosphate levels; i",8.3595,9.2103,6.868,3.063416654,3.203248149,2.779890039,1070,0.418295543,3.015518281,3.53525316
YOL145C,YOL145C,">YOL145C CTR9 SGDID:S000005505, Chr XV from 52788-49555, Genome Release 64-1-1, reverse complement, Verified ORF, Component of the Paf1p complex; binds to and modulates the activity of RNA polymerases I and II; required for expression of a subset of genes",5.3284,9.4444,10.501,2.413702389,3.239459146,3.392454816,1071,0.418686474,3.01520545,3.534940329
YJL042W,YJL042W,">YJL042W MHP1 SGDID:S000003578, Chr X from 361249-365445, Genome Release 64-1-1, Verified ORF, Microtubule-associated protein involved in assembly and stabilization of microtubules; overproduction results in cell cycle arrest at G2 phase; similar to Droso",6.765,9.508,8.2151,2.758089934,3.249141903,3.038278137,1072,0.419077404,3.015169991,3.534904871
YHR027C,YHR027C,">YHR027C RPN1 SGDID:S000001069, Chr VIII from 164711-161730, Genome Release 64-1-1, reverse complement, Verified ORF, Non-ATPase base subunit of the 19S regulatory particle of the 26S proteasome; may participate in the recognition of several ligands of th",8.5228,8.6988,7.0831,3.091327478,3.120816395,2.824380911,1073,0.419468335,3.012174928,3.531909807
YPR122W,YPR122W,">YPR122W AXL1 SGDID:S000006326, Chr XVI from 782045-785671, Genome Release 64-1-1, Verified ORF, Haploid specific endoprotease that performs one of two N-terminal cleavages during maturation of a-factor mating pheromone; required for axial budding pattern",6.1402,8.7657,9.6956,2.618285648,3.131869304,3.27733018,1074,0.419859265,3.009161711,3.52889659
YIL159W,YIL159W,">YIL159W BNR1 SGDID:S000001421, Chr IX from 41825-45952, Genome Release 64-1-1, Verified ORF, Formin, nucleates the formation of linear actin filaments, involved in cell processes such as budding and mitotic spindle orientation which require the formation",4.4821,8.4868,13.716,2.164174837,3.085220679,3.777787904,1075,0.420250195,3.00906114,3.52879602
YOR241W,YOR241W,">YOR241W MET7 SGDID:S000005767, Chr XV from 786995-788641, Genome Release 64-1-1, Verified ORF, Folylpolyglutamate synthetase, catalyzes extension of the glutamate chains of the folate coenzymes, required for methionine synthesis and for maintenance of mi",6.1367,8.5087,9.856,2.617463057,3.088938727,3.301002256,1076,0.420641126,3.002468013,3.522202893
YAR019C,YAR019C,">YAR019C CDC15 SGDID:S000000072, Chr I from 175135-172211, Genome Release 64-1-1, reverse complement, Verified ORF, Protein kinase of the Mitotic Exit Network that is localized to the spindle pole bodies at late anaphase; promotes mitotic exit by directly",5.0944,9.0896,11.069,2.348912241,3.184216808,3.468452986,1077,0.421032056,3.000527345,3.520262224
YIL051C,YIL051C,">YIL051C MMF1 SGDID:S000001313, Chr IX from 258280-257843, Genome Release 64-1-1, reverse complement, Verified ORF, Mitochondrial protein required for transamination of isoleucine but not of valine or leucine; may regulate specificity of branched-chain tr",7.5405,8.2163,8.2654,2.91466019,3.038488859,3.04708464,1078,0.421422987,3.000077896,3.519812776
YLR208W,YLR208W,">YLR208W SEC13 SGDID:S000004198, Chr XII from 559551-560444, Genome Release 64-1-1, Verified ORF, Component of the Nup84 nuclear pore sub-complex, the Sec13p-Sec31p complex of the COPII vesicle coat, and the SEA (Seh1-associated) complex; required for ves",8.3464,7.2964,8.4026,3.061154063,2.867184822,3.070835807,1079,0.421813917,2.999724898,3.519459777
YLR316C,YLR316C,">YLR316C TAD3 SGDID:S000004308, Chr XII from 766073-765266,766181-766130,766358-766250, Genome Release 64-1-1, reverse complement, Verified ORF, Subunit of tRNA-specific adenosine-34 deaminase, forms a heterodimer with Tad2p that converts adenosine to ino",15.221,5.3917,6.2094,3.92799124,2.430740226,2.634453871,1080,0.422204848,2.997728446,3.517463325
YOR117W,YOR117W,">YOR117W RPT5 SGDID:S000005643, Chr XV from 545029-546333, Genome Release 64-1-1, Verified ORF, One of six ATPases of the 19S regulatory particle of the 26S proteasome involved in the degradation of ubiquitinated substrates; recruited to the GAL1-10 promo",6.3617,10.986,7.2634,2.66941234,3.457594292,2.860645032,1081,0.422595778,2.995883888,3.515618767
YOL076W,YOL076W,">YOL076W MDM20 SGDID:S000005436, Chr XV from 187024-189414, Genome Release 64-1-1, Verified ORF, Non-catalytic subunit of the NatB N-terminal acetyltransferase, which catalyzes N-acetylation of proteins with specific N-terminal sequences; involved in mito",7.0964,9.892,7.2311,2.827087332,3.30626224,2.854215128,1082,0.422986708,2.9958549,3.515589779
YLR096W,YLR096W,">YLR096W KIN2 SGDID:S000004086, Chr XII from 332590-336033, Genome Release 64-1-1, Verified ORF, Serine/threonine protein kinase involved in regulation of exocytosis; localizes to the cytoplasmic face of the plasma membrane; closely related to Kin1p",5.6408,7.3322,12.254,2.495899786,2.874246139,3.615180851,1083,0.423377639,2.995108925,3.514843805
YHR043C;YHR044C,YHR043C,">YHR043C DOG2 SGDID:S000001085, Chr VIII from 193545-192805, Genome Release 64-1-1, reverse complement, Verified ORF, 2-deoxyglucose-6-phosphate phosphatase, member of a family of low molecular weight phosphatases, similar to Dog1p, induced by oxidative a",5.1489,10.002,9.7275,2.364264251,3.322216605,3.282069075,1084,0.423768569,2.989516644,3.509251523
YLR291C,YLR291C,">YLR291C GCD7 SGDID:S000004282, Chr XII from 719462-718317, Genome Release 64-1-1, reverse complement, Verified ORF, Beta subunit of the translation initiation factor eIF2B, the guanine-nucleotide exchange factor for eIF2; activity subsequently regulated ",9.0849,7.6903,7.164,3.183470634,2.943039879,2.840765337,1085,0.4241595,2.98909195,3.50882683
YLL007C,YLL007C,">YLL007C YLL007C SGDID:S000003930, Chr XII from 136299-134302, Genome Release 64-1-1, reverse complement, Uncharacterized ORF, Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; YLL007C is not ",6.4704,8.8086,8.7668,2.693854902,3.138912742,3.132050336,1086,0.42455043,2.98827266,3.508007539
YNL242W,YNL242W,">YNL242W ATG2 SGDID:S000005186, Chr XIV from 191324-196102, Genome Release 64-1-1, Verified ORF, Peripheral membrane protein required for vesicle formation during autophagy, pexophagy, and the cytoplasm-to-vaucole targeting (Cvt) pathway; involved in Atg9",9.8511,6.888,7.3597,3.300284829,2.784085143,2.87964696,1087,0.42494136,2.988005644,3.507740523
YGR072W,YGR072W,">YGR072W UPF3 SGDID:S000003304, Chr VII from 634304-635467, Genome Release 64-1-1, Verified ORF, Component of the nonsense-mediated mRNA decay (NMD) pathway, along with Nam7p and Nmd2p; involved in decay of mRNA containing nonsense codons; involved in tel",7.5339,7.0019,9.4322,2.913396884,2.807746458,3.237594309,1088,0.425332291,2.986245884,3.505980763
YOR150W,YOR150W,">YOR150W MRPL23 SGDID:S000005676, Chr XV from 611999-612490, Genome Release 64-1-1, Verified ORF, Mitochondrial ribosomal protein of the large subunit",7.511,9.6815,6.8422,2.909004998,3.275230588,2.774460275,1089,0.425723221,2.986231954,3.505966833
YGR019W,YGR019W,">YGR019W UGA1 SGDID:S000003251, Chr VII from 525229-526644, Genome Release 64-1-1, Verified ORF, Gamma-aminobutyrate (GABA) transaminase (4-aminobutyrate aminotransferase) involved in the 4-aminobutyrate and glutamate degradation pathways; required for no",9.5836,7.7166,6.7193,3.260567694,2.947965324,2.748310944,1090,0.426114152,2.985614654,3.505349533
YHR208W,YHR208W,">YHR208W BAT1 SGDID:S000001251, Chr VIII from 517532-518713, Genome Release 64-1-1, Verified ORF, Mitochondrial branched-chain amino acid (BCAA) aminotransferase, preferentially involved in BCAA biosynthesis; homolog of murine ECA39; highly expressed duri",6.4586,9.217,8.2223,2.691221473,3.204297251,3.039542011,1091,0.426505082,2.978353578,3.498088457
YPR181C,YPR181C,">YPR181C SEC23 SGDID:S000006385, Chr XVI from 899667-897361, Genome Release 64-1-1, reverse complement, Verified ORF, GTPase-activating protein, stimulates the GTPase activity of Sar1p; component of the Sec23p-Sec24p heterodimer of the COPII vesicle coat,",7.6204,8.6105,7.4199,2.929866728,3.106097015,2.891399743,1092,0.426896013,2.975787829,3.495522708
YCL028W,YCL028W,">YCL028W RNQ1 SGDID:S000000533, Chr III from 70150-71367, Genome Release 64-1-1, Verified ORF, [PIN(+)] prion, an infectious protein conformation that is generally an ordered protein aggregate",5.9296,10.443,7.8581,2.567934786,3.384464315,2.974180527,1093,0.427286943,2.975526543,3.495261422
YOR076C,YOR076C,">YOR076C SKI7 SGDID:S000005602, Chr XV from 471620-469377, Genome Release 64-1-1, reverse complement, Verified ORF, Coupling protein that mediates interactions between the Ski complex and the cytoplasmic exosome during 3-5 RNA degradation; eRF3-like dom",6.0447,10.057,8.0034,2.59567074,3.330128109,3.000613015,1094,0.427677873,2.975470621,3.495205501
YPL155C,YPL155C,">YPL155C KIP2 SGDID:S000006076, Chr XVI from 259336-257216, Genome Release 64-1-1, reverse complement, Verified ORF, Kinesin-related motor protein involved in mitotic spindle positioning, stabilizes microtubules by targeting Bik1p to the plus end; Kip2p l",6.3103,8.7463,8.7957,2.657708594,3.128672834,3.136798398,1095,0.428068804,2.974393276,3.494128155
