Protein IDs,Majority protein IDs,First Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Fasta headers,Number of proteins,Peptides,Razor + unique peptides,Unique peptides,Peptides MSZ20_S_1,Peptides MSZ20_S_2,Peptides MSZ20_S_3,Peptides MSZ20_S_4,Razor + unique peptides MSZ20_S_1,Razor + unique peptides MSZ20_S_2,Razor + unique peptides MSZ20_S_3,Razor + unique peptides MSZ20_S_4,Unique peptides MSZ20_S_1,Unique peptides MSZ20_S_2,Unique peptides MSZ20_S_3,Unique peptides MSZ20_S_4,Sequence coverage [%],Unique + razor sequence coverage [%],Unique sequence coverage [%],Mol. weight [kDa],Sequence length,Sequence lengths,Q-value,Score,Ratio H/L,Ratio H/L normalized,Ratio H/L variability [%],Ratio H/L count,Ratio H/L iso-count,Ratio H/L type,Ratio H/L MSZ20_S_1,Ratio H/L MSZ20_S_2,Ratio H/L MSZ20_S_3,Ratio H/L MSZ20_S_4,Ratio H/L normalized MSZ20_S_1,Ratio H/L normalized MSZ20_S_2,Ratio H/L normalized MSZ20_S_3,Ratio H/L normalized MSZ20_S_4,Ratio H/L variability [%] MSZ20_S_1,Ratio H/L variability [%] MSZ20_S_2,Ratio H/L variability [%] MSZ20_S_3,Ratio H/L variability [%] MSZ20_S_4,Ratio H/L count MSZ20_S_1,Ratio H/L count MSZ20_S_2,Ratio H/L count MSZ20_S_3,Ratio H/L count MSZ20_S_4,Ratio H/L iso-count MSZ20_S_1,Ratio H/L iso-count MSZ20_S_2,Ratio H/L iso-count MSZ20_S_3,Ratio H/L iso-count MSZ20_S_4,Ratio H/L type MSZ20_S_1,Ratio H/L type MSZ20_S_2,Ratio H/L type MSZ20_S_3,Ratio H/L type MSZ20_S_4,Sequence coverage MSZ20_S_1 [%],Sequence coverage MSZ20_S_2 [%],Sequence coverage MSZ20_S_3 [%],Sequence coverage MSZ20_S_4 [%],Intensity,Intensity L,Intensity H,Intensity MSZ20_S_1,Intensity L MSZ20_S_1,Intensity H MSZ20_S_1,Intensity MSZ20_S_2,Intensity L MSZ20_S_2,Intensity H MSZ20_S_2,Intensity MSZ20_S_3,Intensity L MSZ20_S_3,Intensity H MSZ20_S_3,Intensity MSZ20_S_4,Intensity L MSZ20_S_4,Intensity H MSZ20_S_4,Only identified by site,Reverse,Potential contaminant,id,Peptide IDs,Peptide is razor,Mod. peptide IDs,Evidence IDs,MS/MS IDs,Best MS/MS,Oxidation (M) site IDs,Oxidation (M) site positions,Taxonomy IDs
YOR122C,YOR122C,YOR122C,2,2,2,"YOR122C PFY1 SGDID:S000005648, Chr XV from 552665-552298,552887-552875, Genome Release 64-2-1, reverse complement, Verified ORF, Profilin; binds actin, phosphatidylinositol 4,5-bisphosphate, and polyproline regions; involved in cytoskeleton organization; ",1,2,2,2,2,1,1,1,2,1,1,1,2,1,1,1,49.2,49.2,49.2,13.677,126,126,0,47.116,0.11278,0.35941,47.395,4,4,Median,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1,1,1,1,1,1,Median,Median,Median,Median,49.2,15.1,15.1,15.1,1838200,1793600,44662,1397500,1389100,8328,214460,200560,13898,151540,136430,15106,74797,67467,7330,,,,1245,192;6581,True;True,192;6617,546;17273;17274;17275;17276;17277,1159;1160;32327;32328;32329;32330;32331;32332;32333;32334;32335;32336,1160;32334,,,-1
YOR124C,YOR124C,YOR124C,3,3,3,"YOR124C UBP2 SGDID:S000005650, Chr XV from 558642-554824, Genome Release 64-2-1, reverse complement, Verified ORF, Ubiquitin-specific protease; removes ubiquitin from ubiquitinated proteins; deubiquitinates Rsp5p and is required for MVB sorting of membran",1,3,3,3,2,0,1,0,2,0,1,0,2,0,1,0,4.5,4.5,4.5,146.35,1272,1272,0,4.7848,1.4493,5.4026,185.13,2,2,Median,1.4493,NaN,NaN,NaN,5.4026,NaN,NaN,NaN,185.13,NaN,NaN,NaN,2,0,0,0,2,0,0,0,Median,Median,Median,Median,2.8,0,1.7,0,273680,161550,112140,242690,130560,112140,0,0,0,30990,30990,0,0,0,0,,,,1246,396;4011;5690,True;True;True,397;4024;5719,1100;10676;14986,2259;20519;28200,2259;20519;28200,,,-1
YOR128C,YOR128C,YOR128C,9,9,9,"YOR128C ADE2 SGDID:S000005654, Chr XV from 566191-564476, Genome Release 64-2-1, reverse complement, Verified ORF, Phosphoribosylaminoimidazole carboxylase; catalyzes a step in the de novo purine nucleotide biosynthetic pathway; red pigment accumulates ",1,9,9,9,6,5,7,4,6,5,7,4,6,5,7,4,19.4,19.4,19.4,62.339,571,571,0,21.339,0.13792,0.9936,101.35,20,18,Median,0.12956,0.14183,0.11261,0.17916,0.97672,0.86791,0.34511,1.6466,114.04,79.454,103,51.527,5,5,6,4,4,4,6,4,Median,Median,Median,Median,15.2,13.1,15.2,7.5,3739200,3283500,455700,1175500,1046300,129200,838640,738910,99732,839930,743420,96512,885100,754850,130250,,,,1247,1042;1914;4553;4786;4821;5000;6949;7692;8017,True;True;True;True;True;True;True;True;True,1044;1922;4567;4805;4841;5021;6985;7738;8066,2845;2846;2847;5173;5174;5175;5176;12021;12022;12023;12024;12651;12730;13185;13186;18189;20213;20214;20215;21071;21072;21073,5653;5654;5655;5656;5657;9924;9925;9926;9927;22876;22877;22878;22879;22880;24032;24160;24964;24965;33902;38006;38007;38008;38009;39789;39790;39791,5655;9924;22878;24032;24160;24964;33902;38008;39789,,,-1
YOR136W,YOR136W,YOR136W,7,7,7,"YOR136W IDH2 SGDID:S000005662, Chr XV from 580250-581359, Genome Release 64-2-1, Verified ORF, Subunit of mitochondrial NAD(+)-dependent isocitrate dehydrogenase; complex catalyzes the oxidation of isocitrate to alpha-ketoglutarate in the TCA cycle; phosp",1,7,7,7,2,6,5,6,2,6,5,6,2,6,5,6,26,26,26,39.739,369,369,0,240.65,0.050498,0.43206,76.711,15,14,Median,0.029012,0.10538,0.064843,0.050498,0.36408,0.46984,0.43445,0.56727,24.212,135.74,60.569,45.428,2,4,4,5,2,4,4,4,Median,Median,Median,Median,7.9,21.4,16.3,20.9,8168500,7807000,361560,1759100,1722000,37048,1671200,1514900,156320,1939500,1877200,62378,2798700,2692900,105820,,,,1248,3074;3995;4336;7576;7612;7988;9255,True;True;True;True;True;True;True,3084;4008;4350;7621;7657;8037;9312,8178;8179;8180;10647;11490;11491;11492;19877;19878;19879;19980;19981;19982;20963;20964;20965;20966;24434;24435,15525;15526;15527;15528;15529;20475;21997;21998;21999;37245;37246;37247;37248;37489;37490;37491;37492;39471;39472;39473;39474;39475;39476;39477;39478;39479;39480;39481;46519;46520;46521;46522;46523,15526;20475;21997;37246;37489;39476;46522,,,-1
YOR142W,YOR142W,YOR142W,6,6,6,"YOR142W LSC1 SGDID:S000005668, Chr XV from 593057-594046, Genome Release 64-2-1, Verified ORF, Alpha subunit of succinyl-CoA ligase; succinyl-CoA ligase is a mitochondrial enzyme of the TCA cycle that catalyzes the nucleotide-dependent conversion of succi",1,6,6,6,5,4,3,3,5,4,3,3,5,4,3,3,23.7,23.7,23.7,35.032,329,329,0,20.389,0.11341,0.69537,98.355,15,13,Median,0.092138,0.12284,0.098562,0.11341,0.8766,0.61279,0.67741,1.4661,148.09,44.12,69.41,116.15,5,4,3,3,5,3,3,2,Median,Median,Median,Plateau,21,21,14.6,12.8,3935900,3561300,374630,1454300,1302400,151900,912220,826440,85777,848850,782210,66644,720550,650230,70316,,,,1249,230;2096;5434;5435;6905;8344,True;True;True;True;True;True,230;2104;5459;5460;6941;8397,647;648;649;650;5643;5644;14346;14347;14348;14349;14350;18074;18075;18076;21987,1376;1377;1378;1379;1380;1381;10873;10874;27143;27144;27145;27146;27147;33707;33708;33709;33710;33711;41704;41705,1380;10873;27143;27146;33711;41705,,,-1
YOR151C,YOR151C,YOR151C,15,15,15,"YOR151C RPB2 SGDID:S000005677, Chr XV from 616671-612997, Genome Release 64-2-1, reverse complement, Verified ORF, RNA polymerase II second largest subunit B150; part of central core; similar to bacterial beta subunit",1,15,15,15,5,8,10,10,5,8,10,10,5,8,10,10,16.1,16.1,16.1,138.75,1224,1224,0,30.193,0.11761,0.56246,155.54,28,28,Median,0.075896,0.11223,0.12482,0.17442,0.33292,0.67818,0.6989,0.4153,200.84,70.958,169.09,165.86,5,5,10,8,5,5,10,8,Median,Median,Median,Median,5.8,8.4,10.8,10.7,4750600,3787500,963060,904650,751340,153310,859090,800550,58540,1809300,1284400,524880,1177600,951250,226320,,,,1250,38;237;3925;4401;4897;6190;6281;7278;8003;8063;8083;8878;8943;9003;9258,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,38;237;3938;4415;4918;6223;6315;7320;8052;8113;8133;8935;9000;9060;9315,106;107;108;665;666;667;10441;11650;12923;16272;16523;16524;16525;19064;19065;19066;21029;21030;21031;21221;21222;21223;21224;21267;21268;23418;23419;23600;23601;23602;23603;23775;24438,229;230;231;1402;1403;1404;20081;22258;24557;30507;31010;31011;31012;35619;35620;35621;39672;39673;39674;40122;40123;40124;40125;40126;40193;40194;44571;44572;44930;44931;44932;44933;44934;44935;44936;44937;44938;45299;46526,229;1404;20081;22258;24557;30507;31012;35621;39672;40122;40193;44571;44933;45299;46526,,,-1
YOR153W,YOR153W,YOR153W,5,5,5,"YOR153W PDR5 SGDID:S000005679, Chr XV from 619840-624375, Genome Release 64-2-1, Verified ORF, Plasma membrane ATP-binding cassette (ABC) transporter; multidrug transporter actively regulated by Pdr1p; also involved in steroid transport, cation resistance",1,5,5,5,1,1,1,3,1,1,1,3,1,1,1,3,4.8,4.8,4.8,170.44,1511,1511,0,6.4395,0.15371,0.6906,190.24,6,6,Median,NaN,NaN,NaN,0.17087,NaN,NaN,NaN,0.72945,NaN,NaN,NaN,209.67,1,1,1,3,1,1,1,3,Median,Median,Median,Median,1.1,0.7,0.9,2.9,887430,614600,272830,165900,152760,13138,86000,72844,13156,96814,95212,1602,538720,293780,244940,,,,1251,679;4020;6576;6975;8643,True;True;True;True;True,681;4033;6612;7012;8698,1907;1908;10700;17260;18270;22772,3976;3977;20560;32301;34088;43275,3977;20560;32301;34088;43275,,,-1
YOR155C,YOR155C,YOR155C,2,2,2,"YOR155C ISN1 SGDID:S000005681, Chr XV from 627980-626628, Genome Release 64-2-1, reverse complement, Verified ORF, Inosine 5-monophosphate (IMP)-specific 5-nucleotidase; catalyzes the breakdown of IMP to inosine; responsible for production of nicotinami",1,2,2,2,1,1,0,0,1,1,0,0,1,1,0,0,6.2,6.2,6.2,51.329,450,450,0.0094203,1.9466,0.12304,0.18636,65.611,2,2,Median,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,0,0,1,1,0,0,Median,Median,Median,Median,2.4,3.8,0,0,118710,108420,10296,74129,69023,5106,44583,39393,5190,0,0,0,0,0,0,,,,1252,2992;4947,True;True,3002;4968,7954;13055,15099;24764;24765,15099;24764,,,-1
YOR164C,YOR164C,YOR164C,5,5,5,"YOR164C GET4 SGDID:S000005690, Chr XV from 644332-643394, Genome Release 64-2-1, reverse complement, Verified ORF, Protein involved in inserting tail-anchored proteins into ER membranes; forms a complex with Mdy2p; highly conserved across species and homo",1,5,5,5,2,2,4,2,2,2,4,2,2,2,4,2,19.6,19.6,19.6,36.28,312,312,0,14.413,0.078098,0.61137,101.12,9,7,Median,0.053927,0.093008,0.30992,0.14069,0.31708,0.96141,2.3425,1.5253,32.988,115.61,86.777,129.29,2,2,3,2,1,1,3,2,Median,Median,Median,Median,8,7.7,15.4,7.7,1882900,1698900,184010,310050,292490,17564,328340,302920,25411,720710,650620,70082,523800,452850,70952,,,,1254,196;2408;4805;5565;8966,True;True;True;True;True,196;2417;4824;5594;9023,552;553;554;555;6510;12693;12694;14673;14674;23669,1167;1168;1169;1170;1171;1172;1173;12560;24109;24110;27683;27684;45066,1170;12560;24109;27684;45066,,,-1
YOR165W,YOR165W,YOR165W,6,6,6,"YOR165W SEY1 SGDID:S000005691, Chr XV from 644566-646896, Genome Release 64-2-1, Verified ORF, Dynamin-like GTPase that mediates homotypic ER fusion; has a role in ER morphology; interacts physically and genetically with Yop1p and Rtn1p; functional orthol",1,6,6,6,2,2,4,2,2,2,4,2,2,2,4,2,8.8,8.8,8.8,89.431,776,776,0,8.2103,0.29397,0.57345,80.315,8,7,Median,0.19404,NaN,0.2575,NaN,0.46979,NaN,0.57345,NaN,12.829,NaN,89.051,NaN,2,1,4,1,1,1,4,1,Median,Median,Median,Median,4,3.5,5.3,3.4,1051200,921830,129380,211600,189180,22423,182190,151070,31124,380220,314500,65728,277190,267090,10102,,,,1255,943;1126;1616;2624;6342;8729,True;True;True;True;True;True,945;1128;1619;2633;6376;8785,2590;2591;2592;3057;3058;4346;7041;16682;23036;23037,5201;5202;5203;5204;5985;5986;8394;13453;31266;43816;43817,5202;5985;8394;13453;31266;43816,,,-1
YOR168W,YOR168W,YOR168W,22,22,22,"YOR168W GLN4 SGDID:S000005694, Chr XV from 649303-651732, Genome Release 64-2-1, Verified ORF, Glutamine tRNA synthetase; monomeric class I tRNA synthetase that catalyzes the specific glutaminylation of tRNA(Gln); N-terminal domain proposed to be involved",1,22,22,22,11,13,14,15,11,13,14,15,11,13,14,15,29.7,29.7,29.7,93.132,809,809,0,132.91,0.080797,0.45284,106.27,48,41,Leave out requantified,0.11485,0.10952,0.089541,0.13721,1.3741,1.0802,0.78103,1.3125,142.32,99.858,135.05,98.612,10,12,13,13,9,10,11,11,Median,Median,Median,Median,16.7,17.7,18,20.9,16331000,14589000,1741700,3876500,3485600,390810,3949600,3512100,437560,4089700,3672200,417530,4415200,3919400,495810,,,,1256,983;1190;1443;2076;2117;3469;3694;4070;4596;5980;5998;6107;6283;6732;6800;6847;7803;7922;8070;8573;8746;9065,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,985;1192;1446;2084;2125;3480;3705;4083;4610;6012;6030;6140;6317;6768;6836;6883;7849;7969;8120;8627;8802;9122,2708;2709;2710;2711;3232;3233;3234;3235;3871;5584;5585;5586;5695;5696;5697;5698;9231;9232;9832;9833;10809;10810;10811;12141;12142;12143;15728;15769;15770;15771;16046;16047;16048;16049;16528;16529;16530;17624;17625;17812;17813;17929;20492;20493;20494;20495;20807;21240;21241;22593;23081;23949;23950;23951,5441;5442;5443;5444;5445;5446;5447;5448;5449;6318;6319;6320;6321;6322;6323;6324;6325;7537;10733;10734;10735;10736;10737;10738;10971;10972;10973;10974;17652;17653;18853;18854;20743;20744;20745;20746;23094;23095;23096;29540;29600;29601;29602;30128;30129;30130;30131;31016;31017;31018;31019;31020;32915;32916;33256;33257;33472;38558;38559;38560;38561;39222;40158;40159;42985;43922;45665;45666;45667,5445;6322;7537;10734;10971;17652;18853;20746;23096;29540;29601;30129;31017;32916;33256;33472;38561;39222;40159;42985;43922;45665,,,-1
YOR175C,YOR175C,YOR175C,4,4,4,"YOR175C ALE1 SGDID:S000005701, Chr XV from 661674-659815, Genome Release 64-2-1, reverse complement, Verified ORF, Broad-specificity lysophospholipid acyltransferase; part of MBOAT family of membrane-bound O-acyltransferases; key component of Lands cycle;",1,4,4,4,1,2,3,1,1,2,3,1,1,2,3,1,8.2,8.2,8.2,72.227,619,619,0,6.6473,0.28448,1.1451,28.374,6,6,Median,NaN,0.15839,0.21495,NaN,NaN,1.3145,1.1451,NaN,NaN,40.764,15.4,NaN,1,2,2,1,1,2,2,1,Median,Median,Median,Median,2.3,4.4,6,1.6,926800,822090,104710,135060,113040,22020,314140,274950,39196,355430,331860,23570,122170,102240,19926,,,,1257,1000;1482;5770;6297,True;True;True;True,1002;1485;5799;6331,2751;3985;3986;15185;15186;16566;16567,5508;7746;7747;28575;28576;31079;31080,5508;7746;28575;31079,,,-1
YOR176W,YOR176W,YOR176W,5,5,5,"YOR176W HEM15 SGDID:S000005702, Chr XV from 662401-663582, Genome Release 64-2-1, Verified ORF, Ferrochelatase; a mitochondrial inner membrane protein, catalyzes the insertion of ferrous iron into protoporphyrin IX, the eighth and final step in the heme b",1,5,5,5,5,3,3,4,5,3,3,4,5,3,3,4,14.2,14.2,14.2,44.596,393,393,0,54.544,0.10751,0.97234,57.673,11,11,Median,0.099396,0.10718,0.081009,0.11433,0.81971,1.0908,0.62804,1.1325,78.831,16.26,60.245,57.541,4,2,2,3,4,2,2,3,Median,Median,Median,Plateau,14.2,7.6,8.9,12,2023200,1834100,189110,744270,680430,63832,382280,349410,32870,367690,332460,35226,528970,471800,57178,,,,1258,1081;1715;5058;6236;8825,True;True;True;True;True,1083;1720;5079;6270;8882,2937;2938;2939;4628;4629;4630;4631;13376;13377;13378;13379;13380;16399;16400;16401;23296,5805;5806;5807;5808;8930;8931;8932;8933;8934;25358;25359;25360;25361;25362;25363;30774;30775;30776;30777;30778;30779;44369,5808;8932;25362;30775;44369,,,-1
YOR184W,YOR184W,YOR184W,13,13,13,"YOR184W SER1 SGDID:S000005710, Chr XV from 679357-680544, Genome Release 64-2-1, Verified ORF, 3-phosphoserine aminotransferase; catalyzes the formation of phosphoserine from 3-phosphohydroxypyruvate, required for serine and glycine biosynthesis; regulate",1,13,13,13,10,10,11,8,10,10,11,8,10,10,11,8,48.1,48.1,48.1,43.415,395,395,0,323.31,0.10043,0.78581,84.38,41,39,Median,0.097973,0.10152,0.090159,0.13156,0.78982,0.51442,0.78581,1.4562,70.099,83.158,72.961,85.874,11,9,13,8,10,9,12,8,Median,Median,Median,Median,40.5,39.2,43.5,30.9,33307000,30453000,2854200,8908400,8168000,740410,5905100,5364500,540510,10902000,10082000,820130,7591700,6838500,753180,,,,1259,550;678;909;1051;1561;2906;3463;3838;3900;4702;5501;5779;5803,True;True;True;True;True;True;True;True;True;True;True;True;True,552;680;911;1053;1564;2916;3474;3849;3913;4720;5529;5808;5832,1504;1903;1904;1905;1906;2499;2500;2501;2502;2869;2870;2871;2872;2873;4189;4190;4191;4192;4193;7738;7739;7740;9218;9219;9220;10192;10193;10194;10195;10374;10375;10376;10377;12441;14508;14509;15200;15201;15202;15262;15263;15264;15265,3152;3968;3969;3970;3971;3972;3973;3974;3975;5054;5055;5056;5057;5058;5686;5687;5688;5689;5690;5691;5692;8127;8128;8129;8130;8131;8132;8133;8134;8135;8136;8137;8138;8139;14679;14680;14681;14682;14683;14684;14685;14686;14687;17636;17637;17638;19538;19539;19540;19541;19542;19543;19544;19545;19930;19931;19932;19933;19934;19935;19936;19937;19938;19939;23596;23597;27414;27415;28595;28596;28597;28598;28708;28709;28710;28711;28712;28713;28714;28715;28716;28717;28718;28719;28720,3152;3973;5054;5687;8136;14684;17636;19539;19931;23597;27414;28596;28714,,,-1
YOR187W,YOR187W,YOR187W,7,7,7,"YOR187W TUF1 SGDID:S000005713, Chr XV from 684030-685343, Genome Release 64-2-1, Verified ORF, Mitochondrial translation elongation factor Tu; comprises both GTPase and guanine nucleotide exchange factor activities, while these activities are found in sep",1,7,7,7,5,4,5,6,5,4,5,6,5,4,5,6,20.8,20.8,20.8,47.972,437,437,0,84.596,0.09022,1.1688,169.99,19,16,Median,0.075128,0.09022,0.068224,0.18466,1.1794,1.1788,0.97426,1.1534,165.22,22.65,158.79,238.78,5,3,5,6,5,2,3,6,Median,Median,Median,Median,15.3,12.1,15.3,18.5,6443000,4495500,1947500,2022700,1435700,587000,736540,686950,49588,1795900,1263800,532090,1887900,1109000,778840,,,,1260,1806;2814;4794;7438;7961;7985;8170,True;True;True;True;True;True;True,1812;2823;4813;7482;8010;8034;8220,4888;4889;4890;4891;7492;12668;12669;12670;19495;20902;20903;20904;20905;20958;20959;20960;21519;21520;21521;21522,9407;9408;9409;9410;9411;9412;9413;9414;14244;24076;24077;24078;36451;39368;39369;39370;39371;39466;39467;39468;40733;40734;40735;40736;40737,9407;14244;24076;36451;39371;39468;40737,,,-1
YOR198C,YOR198C,YOR198C,18,18,18,"YOR198C BFR1 SGDID:S000005724, Chr XV from 720065-718653, Genome Release 64-2-1, reverse complement, Verified ORF, Component of mRNP complexes associated with polyribosomes; involved in localization of mRNAs to P bodies; implicated in secretion and nuclea",1,18,18,18,12,10,11,14,12,10,11,14,12,10,11,14,35.7,35.7,35.7,54.639,470,470,0,323.31,0.059964,0.66681,147.4,42,31,Leave out requantified,0.0637,0.10244,0.080235,0.060042,1.12,0.62288,0.71868,0.80666,28.388,121.46,158.38,114.6,11,9,8,14,8,7,6,10,Leave out requantified,Median,Median,Leave out requantified,23.4,20.2,24.5,28.5,18364000,16046000,2317900,4604200,4279100,325100,3999100,3562600,436520,3951400,3309300,642080,5809400,4895200,914220,,,,1261,61;839;1095;1096;1335;1552;3545;3860;4067;4189;4234;4319;4471;4938;5792;6376;6485;6647,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,61;841;1097;1098;1337;1555;3556;3873;4080;4203;4248;4333;4485;4959;5821;6410;6521;6683,193;194;195;2314;2981;2982;2983;2984;2985;2986;2987;3560;3561;3562;3563;4161;9407;9408;9409;9410;10267;10800;10801;11138;11139;11140;11141;11142;11245;11437;11805;11806;11807;11808;13025;13026;13027;13028;15232;15233;15234;15235;16764;16765;16766;16767;17040;17428,427;428;429;430;431;432;4729;4730;5882;5883;5884;5885;5886;5887;5888;5889;5890;5891;6877;6878;6879;6880;6881;6882;6883;8072;8073;17941;17942;17943;17944;17945;17946;17947;19731;20728;20729;20730;21348;21349;21350;21351;21352;21571;21863;22489;22490;22491;22492;24710;24711;24712;24713;28654;28655;28656;28657;28658;31424;31425;31426;31427;31428;31429;31430;31431;31432;31433;31939;32568,432;4729;5885;5888;6882;8073;17942;19731;20730;21349;21571;21863;22492;24712;28656;31428;31939;32568,,,-1
YOR204W;YNL112W;YPL119C,YOR204W,YOR204W,9;1;1,9;1;1,9;1;1,"YOR204W DED1 SGDID:S000005730, Chr XV from 722911-724725, Genome Release 64-2-1, Verified ORF, ATP-dependent DEAD (Asp-Glu-Ala-Asp)-box RNA helicase; required for translation initiation of all yeast mRNAs; binds to mRNA cap-associated factors, and binding",3,9,9,9,4,2,4,2,4,2,4,2,4,2,4,2,20.4,20.4,20.4,65.552,604,604;546;617,0,14.381,0.14171,0.3912,59.972,8,7,Median,0.17427,NaN,0.19686,0.13049,0.41911,NaN,0.39898,0.6764,12.53,NaN,63.645,98.155,2,1,3,2,2,0,3,2,Median,Median,Median,Median,9.4,5.6,8.6,4.1,1698500,1605500,93006,418940,390560,28372,388830,381150,7674.5,476500,447760,28740,414280,386060,28220,,,,1262,205;734;1328;1796;2984;5473;7622;8318;9231,True;True;True;True;True;True;True;True;True,205;736;1330;1802;2994;5501;7667;8370;9288,583;584;2048;3547;4865;7934;7935;14440;20007;20008;21912;24383,1248;1249;4262;6855;9368;15056;15057;27303;37525;37526;37527;41549;46428,1249;4262;6855;9368;15056;27303;37527;41549;46428,,,-1;-1;-1
YOR209C,YOR209C,YOR209C,13,13,13,"YOR209C NPT1 SGDID:S000005735, Chr XV from 737726-736437, Genome Release 64-2-1, reverse complement, Verified ORF, Nicotinate phosphoribosyltransferase; acts in the salvage pathway of NAD+ biosynthesis; required for silencing at rDNA and telomeres and has",1,13,13,13,6,9,6,5,6,9,6,5,6,9,6,5,34.3,34.3,34.3,49.018,429,429,0,21.564,0.14062,4.1767,95.684,21,19,Linear,0.15128,0.1802,0.1323,0.12163,1.6702,1.2095,0.88936,1.4846,107.74,99.645,102.81,19.505,5,7,6,3,4,6,6,3,Median,Median,Median,Plateau,17.2,21.9,14.9,11.7,5404000,4803500,600480,1577900,1414300,163630,1568600,1335400,233220,1180200,1071100,109020,1077300,982730,94606,,,,1263,144;502;1426;1549;1996;2666;2693;4814;5586;6288;6302;6810;6858,True;True;True;True;True;True;True;True;True;True;True;True;True,144;503;1429;1552;2004;2675;2702;4834;5615;6322;6336;6846;6894,425;426;427;428;1367;1368;1369;3824;4157;4158;5395;5396;5397;5398;7128;7129;7195;12716;14720;14721;16542;16580;17831;17832;17833;17959,908;909;910;911;2798;2799;2800;7401;8068;8069;10409;10410;10411;10412;10413;13569;13570;13669;24144;27744;27745;27746;31041;31100;33285;33286;33287;33507,908;2799;7401;8069;10413;13569;13669;24144;27744;31041;31100;33287;33507,,,-1
YOR220W,YOR220W,YOR220W,5,5,5,"YOR220W RCN2 SGDID:S000005746, Chr XV from 755328-756125, Genome Release 64-2-1, Verified ORF, Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; phosphorylated in response to alpha factor; protein abun",1,5,5,5,3,2,1,0,3,2,1,0,3,2,1,0,25.7,25.7,25.7,29.255,265,265,0,6.0251,0.13716,0.46071,41.397,5,5,Median,0.13149,0.19233,NaN,NaN,0.46071,0.49386,NaN,NaN,50.558,40.663,NaN,NaN,3,2,0,0,3,2,0,0,Median,Median,Median,Median,16.6,9.4,4.2,0,472860,397180,75676,312650,269470,43174,160210,127710,32502,0,0,0,0,0,0,,,,1266,1994;6169;7166;7244;7881,True;True;True;True;True,2002;6202;7207;7286;7927,5390;16224;18758;18981;20698;20699,10393;30424;35020;35414;38985;38986,10393;30424;35020;35414;38986,,,-1
YOR222W,YOR222W,YOR222W,4,4,4,"YOR222W ODC2 SGDID:S000005748, Chr XV from 758330-759253, Genome Release 64-2-1, Verified ORF, Mitochondrial inner membrane transporter; 2-oxodicarboxylate transporter, exports 2-oxoadipate and 2-oxoglutarate from the mitochondrial matrix to the cytosol f",1,4,4,4,3,3,4,3,3,3,4,3,3,3,4,3,15.3,15.3,15.3,34.007,307,307,0,8.7202,0.10996,0.70459,116.51,13,12,Median,0.11212,0.11239,0.10867,0.10996,0.84275,0.63079,0.69988,0.92592,194.33,90.854,93.72,128.8,3,3,4,3,3,3,3,3,Median,Median,Median,Median,10.4,11.4,15.3,10.4,3427500,2594000,833500,844590,601300,243290,714730,587450,127280,1083300,854720,228540,784900,550510,234390,,,,1267,2611;3968;5673;5837,True;True;True;True,2620;3981;5702;5866,7012;7013;10554;10555;10556;14943;14944;14945;14946;15348;15349;15350;15351,13390;13391;13392;13393;20284;20285;20286;20287;20288;28141;28142;28143;28144;28145;28146;28147;28148;28866;28867;28868;28869,13391;20286;28141;28868,,,-1
YOR224C,YOR224C,YOR224C,2,2,2,"YOR224C RPB8 SGDID:S000005750, Chr XV from 761265-760825, Genome Release 64-2-1, reverse complement, Verified ORF, RNA polymerase subunit ABC14.5; common to RNA polymerases I, II, and III",1,2,2,2,2,2,0,0,2,2,0,0,2,2,0,0,17.1,17.1,17.1,16.511,146,146,0,4.5081,0.13386,0.63157,21.04,4,4,Median,0.11251,0.13856,NaN,NaN,0.63157,0.60897,NaN,NaN,18.905,30.941,NaN,NaN,2,2,0,0,2,2,0,0,Median,Median,Median,Median,17.1,17.1,0,0,506510,472620,33890,294240,275150,19094,212270,197480,14796,0,0,0,0,0,0,,,,1268,6310;7000,True;True,6344;7038,16598;16599;18331;18332,31119;31120;31121;31122;34209;34210;34211,31120;34210,,,-1
