Majority protein IDs,First Majority protein IDs,Fasta headers,Ratio H/L MSZ08-1_Sol,Ratio H/L MSZ08-2_Sol,Ratio H/L MSZ08-3_Sol,Log2 Ratio H/L MSZ08-1_Sol,Log2 Ratio H/L MSZ08-2_Sol,Log2 Ratio H/L MSZ08-3_Sol,rank,%rank,Average Log2 Ratio H/L Sol,Average after TCL Median correction
YHR076W,YHR076W,">YHR076W PTC7 SGDID:S000001118, Chr VIII from 251101-251155,251249-252225, Genome Release 64-1-1, Verified ORF, Type 2C protein phosphatase (PP2C); alternatively spliced to create two mRNA isoforms; protein from spliced form localizes to the mitochondria ",0.55215,0.50142,0.53904,-0.856867844,-0.995908553,-0.891535761,1640,0.603606919,-0.91477072,-0.39503584
YDR262W,YDR262W,">YDR262W YDR262W SGDID:S000002670, Chr IV from 993134-993952, Genome Release 64-1-1, Uncharacterized ORF, Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the vacuole and is induced in response to the DNA-d",0.51974,0.53271,0.54152,-0.944138,-0.908577732,-0.884913473,1641,0.603974972,-0.912543068,-0.392808189
YMR243C,YMR243C,">YMR243C ZRC1 SGDID:S000004856, Chr XIII from 756166-754838, Genome Release 64-1-1, reverse complement, Verified ORF, Vacuolar membrane zinc transporter, transports zinc from the cytosol into the vacuole for storage; also has a role in resistance to zinc ",0.54273,0.49674,0.55624,-0.881693437,-1.00943717,-0.8462206,1642,0.604343025,-0.912450403,-0.392715523
YGL197W,YGL197W,">YGL197W MDS3 SGDID:S000003165, Chr VII from 124698-129161, Genome Release 64-1-1, Verified ORF, Putative component of the TOR regulatory pathway; negative regulator of early meiotic gene expression; required, with Pmd1p, for growth under alkaline conditi",0.2346,0.2201,2.9062,-2.091725082,-2.18376895,1.53913399,1643,0.604711078,-0.912120014,-0.392385134
YIL075C,YIL075C,">YIL075C RPN2 SGDID:S000001337, Chr IX from 220700-217863, Genome Release 64-1-1, reverse complement, Verified ORF, Subunit of the 26S proteasome, substrate of the N-acetyltransferase Nat1p",0.51489,0.52035,0.5603,-0.957663844,-0.942445754,-0.835728602,1644,0.605079131,-0.911946067,-0.392211187
YIR023W,YIR023W,">YIR023W DAL81 SGDID:S000001462, Chr IX from 399777-402689, Genome Release 64-1-1, Verified ORF, Positive regulator of genes in multiple nitrogen degradation pathways; contains DNA binding domain but does not appear to bind the dodecanucleotide sequence p",0.5278,0.5538,0.51437,-0.921936744,-0.852563041,-0.959121593,1645,0.605447184,-0.911207126,-0.391472247
YLL031C,YLL031C,">YLL031C GPI13 SGDID:S000003954, Chr XII from 80205-77152, Genome Release 64-1-1, reverse complement, Verified ORF, ER membrane localized phosphoryltransferase that adds phosphoethanolamine onto the third mannose residue of the glycosylphosphatidylinosito",0.46404,0.54061,0.59946,-1.107678925,-0.887339896,-0.738264604,1646,0.605815237,-0.911094475,-0.391359596
YBR262C,YBR262C,">YBR262C AIM5 SGDID:S000000466, Chr II from 736040-735720, Genome Release 64-1-1, reverse complement, Verified ORF, Protein of unknown function; the authentic, non-tagged protein is detected in purified mitochondria in high-throughput studies; null mutant",0.54787,0.52331,0.52486,-0.868094487,-0.934262267,-0.929995442,1647,0.60618329,-0.910784066,-0.391049186
YBR053C,YBR053C,">YBR053C YBR053C SGDID:S000000257, Chr II from 340751-339675, Genome Release 64-1-1, reverse complement, Uncharacterized ORF, Putative protein of unknown function; induced by cell wall perturbation",0.54656,0.54588,0.50451,-0.871548215,-0.873344254,-0.987045229,1648,0.606551343,-0.9106459,-0.39091102
YGL115W,YGL115W,">YGL115W SNF4 SGDID:S000003083, Chr VII from 292033-293001, Genome Release 64-1-1, Verified ORF, Activating gamma subunit of the AMP-activated Snf1p kinase complex (contains Snf1p and a Sip1p/Sip2p/Gal83p family member); activates glucose-repressed genes,",0.5381,0.5244,0.53347,-0.894053788,-0.931260409,-0.906520952,1649,0.606919396,-0.910611717,-0.390876837
YOR341W,YOR341W,">YOR341W RPA190 SGDID:S000005868, Chr XV from 960987-965981, Genome Release 64-1-1, Verified ORF, RNA polymerase I largest subunit A190",0.49167,0.55883,0.5484,-1.024237765,-0.839518623,-0.866699524,1650,0.607287449,-0.910151971,-0.390417091
YPL183C,YPL183C,">YPL183C RTT10 SGDID:S000006104, Chr XVI from 202536-199495, Genome Release 64-1-1, reverse complement, Verified ORF, Cytoplasmic protein with a role in regulation of Ty1 transposition",0.53243,0.53302,0.53104,-0.909336232,-0.907738428,-0.91310756,1651,0.607655502,-0.91006074,-0.390325861
YNL071W,YNL071W,">YNL071W LAT1 SGDID:S000005015, Chr XIV from 491523-492971, Genome Release 64-1-1, Verified ORF, Dihydrolipoamide acetyltransferase component (E2) of pyruvate dehydrogenase complex, which catalyzes the oxidative decarboxylation of pyruvate to acetyl-CoA",0.56864,0.46947,0.56572,-0.814412508,-1.090895125,-0.821839919,1652,0.608023555,-0.909049184,-0.389314305
YLR216C,YLR216C,">YLR216C CPR6 SGDID:S000004206, Chr XII from 573211-572096, Genome Release 64-1-1, reverse complement, Verified ORF, Peptidyl-prolyl cis-trans isomerase (cyclophilin), catalyzes the cis-trans isomerization of peptide bonds N-terminal to proline residues; ",0.50715,0.56418,0.52894,-0.979515578,-0.825772571,-0.918824015,1653,0.608391608,-0.908037388,-0.388302509
YDL126C,YDL126C,">YDL126C CDC48 SGDID:S000002284, Chr IV from 238664-236157, Genome Release 64-1-1, reverse complement, Verified ORF, ATPase involved in ubiquitin-mediated protein degradation; Cdc48p-Npl4p-Ufd1p complex participates in ER-associated degradation (ERAD) whi",0.52675,0.53989,0.53347,-0.924809686,-0.8892626,-0.906520952,1654,0.608759661,-0.906864413,-0.387129533
YKL210W,YKL210W,">YKL210W UBA1 SGDID:S000001693, Chr XI from 39163-42237, Genome Release 64-1-1, Verified ORF, Ubiquitin activating enzyme (E1), involved in ubiquitin-mediated protein degradation and essential for viability",0.54172,0.53529,0.52328,-0.88438074,-0.901607394,-0.934344975,1655,0.609127714,-0.906777703,-0.387042824
YBR015C,YBR015C,">YBR015C MNN2 SGDID:S000000219, Chr II from 269503-267710, Genome Release 64-1-1, reverse complement, Verified ORF, Alpha-1,2-mannosyltransferase, responsible for addition of the first alpha-1,2-linked mannose to form the branches on the mannan backbone o",0.56192,0.50369,0.53725,-0.831563345,-0.989392006,-0.896334517,1656,0.609495767,-0.905763289,-0.38602841
YDR408C,YDR408C,">YDR408C ADE8 SGDID:S000002816, Chr IV from 1288859-1288215, Genome Release 64-1-1, reverse complement, Verified ORF, Phosphoribosyl-glycinamide transformylase, catalyzes a step in the de novo purine nucleotide biosynthetic pathway",0.50902,0.54834,0.54511,-0.974205752,-0.866857377,-0.875380708,1657,0.60986382,-0.905481279,-0.3857464
YPL040C,YPL040C,">YPL040C ISM1 SGDID:S000005961, Chr XVI from 479001-475993, Genome Release 64-1-1, reverse complement, Verified ORF, Mitochondrial isoleucyl-tRNA synthetase, null mutant is deficient in respiratory growth",0.64095,0.48391,0.49058,-0.641716277,-1.047189342,-1.027439676,1658,0.610231873,-0.905448432,-0.385713552
YDR261C,YDR261C,">YDR261C EXG2 SGDID:S000002669, Chr IV from 979209-977521, Genome Release 64-1-1, reverse complement, Verified ORF, Exo-1,3-beta-glucanase, involved in cell wall beta-glucan assembly; may be anchored to the plasma membrane via a glycosylphosphatidylinosit",0.51687,0.48741,0.60576,-0.952126627,-1.036792244,-0.723181779,1659,0.610599926,-0.90403355,-0.384298671
YGR231C,YGR231C,">YGR231C PHB2 SGDID:S000003463, Chr VII from 953480-952548, Genome Release 64-1-1, reverse complement, Verified ORF, Subunit of the prohibitin complex (Phb1p-Phb2p), a 1.2 MDa ring-shaped inner mitochondrial membrane chaperone that stabilizes newly synthe",0.54309,0.49369,0.57087,-0.880736796,-1.018322672,-0.808765846,1660,0.610967979,-0.902608438,-0.382873559
YPR143W,YPR143W,">YPR143W RRP15 SGDID:S000006347, Chr XVI from 818323-819075, Genome Release 64-1-1, Verified ORF, Nucleolar protein, constituent of pre-60S ribosomal particles; required for proper processing of the 27S pre-rRNA at the A3 and B1 sites to yield mature 5.8S",0.51023,0.64425,0.46564,-0.970780367,-0.634307463,-1.102713099,1661,0.611336032,-0.90260031,-0.38286543
YIL047C,YIL047C,">YIL047C SYG1 SGDID:S000001309, Chr IX from 267823-265115, Genome Release 64-1-1, reverse complement, Verified ORF, Plasma membrane protein of unknown function; truncation and overexpression suppresses lethality of G-alpha protein deficiency",0.49354,0.53653,0.57839,-1.018761079,-0.898269254,-0.789885486,1662,0.611704085,-0.902305273,-0.382570394
YJL071W,YJL071W,">YJL071W ARG2 SGDID:S000003607, Chr X from 306132-307856, Genome Release 64-1-1, Verified ORF, Acetylglutamate synthase (glutamate N-acetyltransferase), mitochondrial enzyme that catalyzes the first step in the biosynthesis of the arginine precursor ornit",0.44944,0.5647,0.60426,-1.153799565,-0.824443464,-0.726758651,1663,0.612072138,-0.901667227,-0.381932347
YGL172W,YGL172W,">YGL172W NUP49 SGDID:S000003140, Chr VII from 180700-182118, Genome Release 64-1-1, Verified ORF, Subunit of the Nsp1p-Nup57p-Nup49p-Nic96p subcomplex of the nuclear pore complex (NPC), required for nuclear export of ribosomes",0.54295,0.48241,0.58598,-0.881108748,-1.051668281,-0.77107667,1664,0.612440191,-0.901284566,-0.381549687
YGL022W,YGL022W,">YGL022W STT3 SGDID:S000002990, Chr VII from 452404-454560, Genome Release 64-1-1, Verified ORF, Subunit of the oligosaccharyltransferase complex of the ER lumen, which catalyzes asparagine-linked glycosylation of newly synthesized proteins; forms a subco",0.52445,0.49159,0.59639,-0.931122859,-1.024472526,-0.745672028,1665,0.612808244,-0.900422471,-0.380687592
YFL016C,YFL016C,">YFL016C MDJ1 SGDID:S000001878, Chr VI from 106236-104701, Genome Release 64-1-1, reverse complement, Verified ORF, Co-chaperone that stimulates the ATPase activity of the HSP70 protein Ssc1p; involved in protein folding/refolding in the mitochodrial matr",0.47006,0.61346,0.53363,-1.089083176,-0.704958817,-0.90608832,1666,0.613176297,-0.900043438,-0.380308558
YBL042C,YBL042C,">YBL042C FUI1 SGDID:S000000138, Chr II from 140260-138341, Genome Release 64-1-1, reverse complement, Verified ORF, High affinity uridine permease, localizes to the plasma membrane; also mediates low but significant transport of the cytotoxic nucleoside a",0.66251,0.63617,0.36511,-0.593985864,-0.652515755,-1.453596912,1667,0.61354435,-0.900032843,-0.380297964
YGR241C,YGR241C,">YGR241C YAP1802 SGDID:S000003473, Chr VII from 976581-974875, Genome Release 64-1-1, reverse complement, Verified ORF, Protein involved in clathrin cage assembly; binds Pan1p and clathrin; homologous to Yap1801p, member of the AP180 protein family",0.59037,0.59889,0.43608,-0.760308683,-0.739637052,-1.197335269,1668,0.613912403,-0.899093668,-0.379358789
YKL204W,YKL204W,">YKL204W EAP1 SGDID:S000001687, Chr XI from 53704-55602, Genome Release 64-1-1, Verified ORF, eIF4E-associated protein, competes with eIF4G for binding to eIF4E; inhibits cap-dependent translation; functions independently of eIF4E to maintain genetic stab",0.50286,0.56642,0.54178,-0.991771296,-0.820055888,-0.884220958,1669,0.614280456,-0.898682714,-0.378947835
YMR072W,YMR072W,">YMR072W ABF2 SGDID:S000004676, Chr XIII from 411569-412120, Genome Release 64-1-1, Verified ORF, Mitochondrial DNA-binding protein involved in mitochondrial DNA replication and recombination, member of HMG1 DNA-binding protein family; activity may be reg",0.51873,0.53549,0.55616,-0.946944287,-0.901068461,-0.846428108,1670,0.614648509,-0.898146952,-0.378412073
YNL229C,YNL229C,">YNL229C URE2 SGDID:S000005173, Chr XIV from 220201-219137, Genome Release 64-1-1, reverse complement, Verified ORF, Nitrogen catabolite repression transcriptional regulator that acts by inhibition of GLN3 transcription in good nitrogen source; has glutat",0.59594,0.49062,0.52878,-0.746761009,-1.027322049,-0.919260484,1671,0.615016562,-0.897781181,-0.378046301
YGR048W,YGR048W,">YGR048W UFD1 SGDID:S000003280, Chr VII from 589826-590911, Genome Release 64-1-1, Verified ORF, Protein that interacts with Cdc48p and Npl4p, involved in recognition of polyubiquitinated proteins and their presentation to the 26S proteasome for degradati",0.61482,0.52426,0.48033,-0.701763998,-0.93164562,-1.057902177,1672,0.615384615,-0.897103932,-0.377369052
YNL219C,YNL219C,">YNL219C ALG9 SGDID:S000005163, Chr XIV from 237663-235996, Genome Release 64-1-1, reverse complement, Verified ORF, Mannosyltransferase, involved in N-linked glycosylation; catalyzes the transfer of mannose from Dol-P-Man to lipid-linked oligosaccharides",0.53017,0.54866,0.53295,-0.915473058,-0.866015695,-0.907927905,1673,0.615752668,-0.896472219,-0.37673734
YGL181W,YGL181W,">YGL181W GTS1 SGDID:S000003149, Chr VII from 157906-159096, Genome Release 64-1-1, Verified ORF, Protein involved in Arf3p regulation and in transcription regulation; localizes to the nucleus and to endocytic patches; contains an N-terminal Zn-finger and ",0.59293,0.54018,0.48538,-0.754066301,-0.888487869,-1.042813431,1674,0.616120721,-0.895122534,-0.375387655
YGR012W,YGR012W,">YGR012W YGR012W SGDID:S000003244, Chr VII from 513159-514340, Genome Release 64-1-1, Verified ORF, Putative cysteine synthase, localized to the mitochondrial outer membrane",0.50244,0.52889,0.58508,-0.992976771,-0.918960397,-0.773294192,1675,0.616488774,-0.89507712,-0.375342241
YHR179W,YHR179W,">YHR179W OYE2 SGDID:S000001222, Chr VIII from 462502-463704, Genome Release 64-1-1, Verified ORF, Conserved NADPH oxidoreductase containing flavin mononucleotide (FMN), homologous to Oye3p with different ligand binding and catalytic properties; may be inv",0.56143,0.50413,0.55028,-0.832821939,-0.988132285,-0.8617622,1676,0.616856827,-0.894238808,-0.374503929
YKL057C,YKL057C,">YKL057C NUP120 SGDID:S000001540, Chr XI from 333969-330856, Genome Release 64-1-1, reverse complement, Verified ORF, Subunit of the Nup84p subcomplex of the nuclear pore complex (NPC); required for even distribution of NPCs around the nuclear envelope, i",0.5699,0.47341,0.57741,-0.811219302,-1.078837914,-0.792332001,1677,0.61722488,-0.894129739,-0.37439486
YDR428C,YDR428C,">YDR428C BNA7 SGDID:S000002836, Chr IV from 1324239-1323454, Genome Release 64-1-1, reverse complement, Verified ORF, Formylkynurenine formamidase, involved in the de novo biosynthesis of NAD from tryptophan via kynurenine",0.48925,0.55053,0.57847,-1.031356244,-0.861106912,-0.789685953,1678,0.617592933,-0.894049703,-0.374314824
YML034W,YML034W,">YML034W SRC1 SGDID:S000004497, Chr XIII from 209525-211444,211571-212155, Genome Release 64-1-1, Verified ORF, Inner nuclear membrane protein; functions in regulation of subtelomeric genes and is linked to TREX (transcription export) factors; SRC1 produc",0.51634,0.62915,0.48006,-0.953606729,-0.668524074,-1.058713363,1679,0.617960986,-0.893614722,-0.373879843
YGL016W,YGL016W,">YGL016W KAP122 SGDID:S000002984, Chr VII from 461666-464911, Genome Release 64-1-1, Verified ORF, Karyopherin beta, responsible for import of the Toa1p-Toa2p complex into the nucleus; binds to nucleoporins Nup1p and Nup2p; may play a role in regulation o",0.54067,0.54347,0.5316,-0.887179787,-0.879727695,-0.91158699,1680,0.618329039,-0.892831491,-0.373096611
YPL160W,YPL160W,">YPL160W CDC60 SGDID:S000006081, Chr XVI from 246990-250262, Genome Release 64-1-1, Verified ORF, Cytosolic leucyl tRNA synthetase, ligates leucine to the appropriate tRNA",0.52985,0.52697,0.56078,-0.916344103,-0.924207262,-0.834493198,1681,0.618697092,-0.891681521,-0.371946642
YFR004W,YFR004W,">YFR004W RPN11 SGDID:S000001900, Chr VI from 153393-154313, Genome Release 64-1-1, Verified ORF, Metalloprotease subunit of the 19S regulatory particle of the 26S proteasome lid; couples the deubiquitination and degradation of proteasome substrates; invol",0.58345,0.52994,0.50717,-0.777319069,-0.916099068,-0.979458685,1682,0.619065145,-0.890958941,-0.371224061
YIR012W,YIR012W,">YIR012W SQT1 SGDID:S000001451, Chr IX from 378486-379781, Genome Release 64-1-1, Verified ORF, Essential protein involved in a late step of 60S ribosomal subunit assembly or modification; contains multiple WD repeats; interacts with Qsr1p in a two-hybrid",0.6121,0.45978,0.5579,-0.708160727,-1.120984383,-0.841921544,1683,0.619433198,-0.890355551,-0.370620672
YGR193C,YGR193C,">YGR193C PDX1 SGDID:S000003425, Chr VII from 885741-884509, Genome Release 64-1-1, reverse complement, Verified ORF, Dihydrolipoamide dehydrogenase (E3)-binding protein (E3BP) of the mitochondrial pyruvate dehydrogenase (PDH) complex, plays a structural r",0.50392,0.5566,0.55997,-0.988733379,-0.845287186,-0.836578557,1684,0.619801251,-0.890199707,-0.370464828
YLR048W,YLR048W,">YLR048W RPS0B SGDID:S000004038, Chr XII from 242232-242321,242681-243349, Genome Release 64-1-1, Verified ORF, Protein component of the small (40S) ribosomal subunit, nearly identical to Rps0Ap; required for maturation of 18S rRNA along with Rps0Ap; dele",0.54939,0.51759,0.55251,-0.864097444,-0.950118351,-0.855927518,1685,0.620169304,-0.890047771,-0.370312892
YMR047C,YMR047C,">YMR047C NUP116 SGDID:S000004650, Chr XIII from 366705-363364, Genome Release 64-1-1, reverse complement, Verified ORF, Subunit of the Nup82 subcomplex of the nuclear pore complex; localized to both sides of the pore; contains a repetitive GLFG motif that",0.58665,0.52329,0.51193,-0.769428058,-0.934317405,-0.965981542,1686,0.620537357,-0.889909002,-0.370174122
YML079W,YML079W,">YML079W YML079W SGDID:S000004544, Chr XIII from 110247-110852, Genome Release 64-1-1, Uncharacterized ORF, Non-essential protein of unknown function with structural resemblance to plant storage and ligand binding proteins (canavalin, glycinin, auxin bind",0.5856,0.51489,0.52132,-0.772012541,-0.957663844,-0.939758886,1687,0.62090541,-0.889811757,-0.370076878
YBL068W,YBL068W,">YBL068W PRS4 SGDID:S000000164, Chr II from 92414-93394, Genome Release 64-1-1, Verified ORF, 5-phospho-ribosyl-1(alpha)-pyrophosphate synthetase, synthesizes PRPP, which is required for nucleotide, histidine, and tryptophan biosynthesis; one of five rela",0.5517,0.51045,0.55841,-0.858044114,-0.970158443,-0.840603317,1688,0.621273463,-0.889601958,-0.369867079
YOL033W,YOL033W,">YOL033W MSE1 SGDID:S000005393, Chr XV from 263475-265085, Genome Release 64-1-1, Verified ORF, Mitochondrial glutamyl-tRNA synthetase, predicted to be palmitoylated",0.61786,0.37594,0.67741,-0.694648118,-1.411425669,-0.561898811,1689,0.621641516,-0.889324199,-0.36958932
YKL082C,YKL082C,">YKL082C RRP14 SGDID:S000001565, Chr XI from 282329-281025, Genome Release 64-1-1, reverse complement, Verified ORF, Essential protein, constituent of 66S pre-ribosomal particles; interacts with proteins involved in ribosomal biogenesis and cell polarity;",0.5247,0.56803,0.52844,-0.930435305,-0.815960968,-0.92018842,1690,0.622009569,-0.888861564,-0.369126685
YDR335W,YDR335W,">YDR335W MSN5 SGDID:S000002743, Chr IV from 1141168-1144842, Genome Release 64-1-1, Verified ORF, Karyopherin involved in nuclear import and export of proteins, including import of replication protein A and export of Swi6p, Far1p, and Pho4p; required for ",0.54872,0.55529,0.51714,-0.865857934,-0.84868668,-0.951373195,1691,0.622377622,-0.88863927,-0.36890439
YDR376W,YDR376W,">YDR376W ARH1 SGDID:S000002784, Chr IV from 1226822-1228303, Genome Release 64-1-1, Verified ORF, Oxidoreductase of the mitochondrial inner membrane, involved in cytoplasmic and mitochondrial iron homeostasis and required for activity of Fe-S cluster-cont",0.47144,0.50363,0.665,-1.084853924,-0.989563871,-0.588573754,1692,0.622745675,-0.88766385,-0.36792897
YOR224C,YOR224C,">YOR224C RPB8 SGDID:S000005750, Chr XV from 761265-760825, Genome Release 64-1-1, reverse complement, Verified ORF, RNA polymerase subunit ABC14.5, common to RNA polymerases I, II, and III",0.51939,0.5435,0.56029,-0.945109857,-0.87964806,-0.835754351,1693,0.623113728,-0.886837423,-0.367102543
YOL038W,YOL038W,">YOL038W PRE6 SGDID:S000005398, Chr XV from 255337-256101, Genome Release 64-1-1, Verified ORF, Alpha 4 subunit of the 20S proteasome; may replace alpha 3 subunit (Pre9p) under stress conditions to create a more active proteasomal isoform; GFP-fusion prot",0.54359,0.5549,0.5246,-0.879409179,-0.849700292,-0.930710287,1694,0.623481781,-0.886606586,-0.366871707
YEL042W,YEL042W,">YEL042W GDA1 SGDID:S000000768, Chr V from 73771-75327, Genome Release 64-1-1, Verified ORF, Guanosine diphosphatase located in the Golgi, involved in the transport of GDP-mannose into the Golgi lumen by converting GDP to GMP after mannose is transferred ",0.51297,0.54643,0.56634,-0.96305364,-0.871891403,-0.820259665,1695,0.623849834,-0.885068236,-0.365333357
YER062C,YER062C,">YER062C HOR2 SGDID:S000000864, Chr V from 280682-279930, Genome Release 64-1-1, reverse complement, Verified ORF, One of two redundant DL-glycerol-3-phosphatases (RHR2/GPP1 encodes the other) involved in glycerol biosynthesis; induced in response to hype",0.58282,0.54502,0.49997,-0.778877709,-0.875618923,-1.000086564,1696,0.624217887,-0.884861066,-0.365126186
YLR420W,YLR420W,">YLR420W URA4 SGDID:S000004412, Chr XII from 963785-964879, Genome Release 64-1-1, Verified ORF, Dihydroorotase, catalyzes the third enzymatic step in the de novo biosynthesis of pyrimidines, converting carbamoyl-L-aspartate into dihydroorotate",0.55163,0.50062,0.57537,-0.858227176,-0.998212166,-0.797438094,1697,0.62458594,-0.884625812,-0.364890933
YER025W,YER025W,">YER025W GCD11 SGDID:S000000827, Chr V from 205251-206834, Genome Release 64-1-1, Verified ORF, Gamma subunit of the translation initiation factor eIF2, involved in the identification of the start codon; binds GTP when forming the ternary complex with GTP",0.56233,0.52308,0.54036,-0.830511079,-0.934896485,-0.888007211,1698,0.624953993,-0.884471592,-0.364736713
YLR192C,YLR192C,">YLR192C HCR1 SGDID:S000004182, Chr XII from 539589-538792, Genome Release 64-1-1, reverse complement, Verified ORF, Dual function protein involved in translation initiation as a substoichiometric component (eIF3j) of translation initiation factor 3 (eIF3",0.51214,0.55975,0.55446,-0.965389852,-0.837145472,-0.85084471,1699,0.625322046,-0.884460011,-0.364725132
YJL005W,YJL005W,">YJL005W CYR1 SGDID:S000003542, Chr X from 425157-431237, Genome Release 64-1-1, Verified ORF, Adenylate cyclase, required for cAMP production and cAMP-dependent protein kinase signaling; the cAMP pathway controls a variety of cellular processes, includin",0.51974,0.60714,0.50442,-0.944138,-0.71989887,-0.987302616,1700,0.625690099,-0.883779828,-0.364044949
YAL060W,YAL060W,">YAL060W BDH1 SGDID:S000000056, Chr I from 35155-36303, Genome Release 64-1-1, Verified ORF, NAD-dependent (R,R)-butanediol dehydrogenase, catalyzes oxidation of (R,R)-2,3-butanediol to (3R)-acetoin, oxidation of meso-butanediol to (3S)-acetoin, and reduc",0.57424,0.55126,0.50315,-0.800274267,-0.859195173,-0.990939532,1701,0.626058152,-0.883469657,-0.363734778
YOR176W,YOR176W,">YOR176W HEM15 SGDID:S000005702, Chr XV from 662401-663582, Genome Release 64-1-1, Verified ORF, Ferrochelatase, a mitochondrial inner membrane protein, catalyzes the insertion of ferrous iron into protoporphyrin IX, the eighth and final step in the heme ",0.54696,0.53946,0.54055,-0.870492764,-0.890412104,-0.887500024,1702,0.626426205,-0.882801631,-0.363066752
YHR208W,YHR208W,">YHR208W BAT1 SGDID:S000001251, Chr VIII from 517532-518713, Genome Release 64-1-1, Verified ORF, Mitochondrial branched-chain amino acid (BCAA) aminotransferase, preferentially involved in BCAA biosynthesis; homolog of murine ECA39; highly expressed duri",0.55734,0.53251,0.53787,-0.843370396,-0.909119477,-0.894670571,1703,0.626794258,-0.882386815,-0.362651935
YGR019W,YGR019W,">YGR019W UGA1 SGDID:S000003251, Chr VII from 525229-526644, Genome Release 64-1-1, Verified ORF, Gamma-aminobutyrate (GABA) transaminase (4-aminobutyrate aminotransferase) involved in the 4-aminobutyrate and glutamate degradation pathways; required for no",0.56895,0.48566,0.57804,-0.813626223,-1.041981427,-0.790758765,1704,0.627162311,-0.882122138,-0.362387259
YLL015W,YLL015W,">YLL015W BPT1 SGDID:S000003938, Chr XII from 116432-121111, Genome Release 64-1-1, Verified ORF, ABC type transmembrane transporter of MRP/CFTR family, found in vacuolar membrane, involved in the transport of unconjugated bilirubin and in heavy metal deto",0.53622,0.52896,0.56318,-0.899103065,-0.918769465,-0.828331994,1705,0.627530364,-0.882068175,-0.362333295
YMR149W,YMR149W,">YMR149W SWP1 SGDID:S000004757, Chr XIII from 560996-561856, Genome Release 64-1-1, Verified ORF, Delta subunit of the oligosaccharyl transferase glycoprotein complex, which is required for N-linked glycosylation of proteins in the endoplasmic reticulum",0.56441,0.5432,0.52155,-0.825184546,-0.880444615,-0.939122527,1706,0.627898417,-0.881583896,-0.361849017
YCR072C,YCR072C,">YCR072C RSA4 SGDID:S000000668, Chr III from 242352-240805, Genome Release 64-1-1, reverse complement, Verified ORF, WD-repeat protein involved in ribosome biogenesis; may interact with ribosomes; required for maturation and efficient intra-nuclear transp",0.56541,0.6011,0.47179,-0.822630696,-0.734323075,-1.083783255,1707,0.62826647,-0.880245675,-0.360510796
YPR155C,YPR155C,">YPR155C NCA2 SGDID:S000006359, Chr XVI from 837413-835563, Genome Release 64-1-1, reverse complement, Verified ORF, Protein involved in regulation of mitochondrial expression of subunits 6 (Atp6p) and 8 (Atp8p) of the Fo-F1 ATP synthase; functions with N",0.53063,0.55285,0.54768,-0.914221852,-0.855039995,-0.868594897,1708,0.628634523,-0.879285582,-0.359550702
YJL115W,YJL115W,">YJL115W ASF1 SGDID:S000003651, Chr X from 196287-197126, Genome Release 64-1-1, Verified ORF, Nucleosome assembly factor, involved in chromatin assembly and disassembly, anti-silencing protein that causes derepression of silent loci when overexpressed; p",0.57757,0.54335,0.51229,-0.791932287,-0.880046282,-0.964967365,1709,0.629002576,-0.878981978,-0.359247099
YPL097W,YPL097W,">YPL097W MSY1 SGDID:S000006018, Chr XVI from 364952-366430, Genome Release 64-1-1, Verified ORF, Mitochondrial tyrosyl-tRNA synthetase",0.55999,0.58279,0.49264,-0.83652703,-0.778951972,-1.021394322,1710,0.629370629,-0.878957775,-0.359222896
YLR325C,YLR325C,">YLR325C RPL38 SGDID:S000004317, Chr XII from 781379-781143, Genome Release 64-1-1, reverse complement, Verified ORF, Protein component of the large (60S) ribosomal subunit, has similarity to rat L38 ribosomal protein",0.53261,0.54926,0.55071,-0.908848579,-0.864438864,-0.860635289,1711,0.629738682,-0.877974244,-0.358239365
YGR207C,YGR207C,">YGR207C CIR1 SGDID:S000003439, Chr VII from 911628-910843, Genome Release 64-1-1, reverse complement, Verified ORF, Mitochondrial protein that interacts with frataxin (Yfh1p); putative ortholog of mammalian electron transfer flavoprotein complex subunit ",0.53235,0.53209,0.56936,-0.90955302,-0.910257805,-0.812586954,1712,0.630106735,-0.877465926,-0.357731047
YDR119W,YDR119W,">YDR119W VBA4 SGDID:S000002526, Chr IV from 688227-690533, Genome Release 64-1-1, Uncharacterized ORF, Protein of unknown function with proposed role as a basic amino acid permease based on phylogeny; GFP-fusion protein localizes to vacuolar membrane; phy",0.56373,0.52146,0.54983,-0.82692375,-0.939371504,-0.862942469,1713,0.630474788,-0.876412574,-0.356677695
YGR270W,YGR270W,">YGR270W YTA7 SGDID:S000003502, Chr VII from 1027370-1031509, Genome Release 64-1-1, Verified ORF, Protein that localizes to chromatin and has a role in regulation of histone gene expression; has a bromodomain-like region that interacts with the N-termina",1.5419,0.21307,0.49198,0.624709202,-2.230600617,-1.023328427,1714,0.630842841,-0.876406614,-0.356671735
YBR171W,YBR171W,">YBR171W SEC66 SGDID:S000000375, Chr II from 578364-578984, Genome Release 64-1-1, Verified ORF, Non-essential subunit of Sec63 complex (Sec63p, Sec62p, Sec66p and Sec72p); with Sec61 complex, Kar2p/BiP and Lhs1p forms a channel competent for SRP-dependen",0.51582,0.52957,0.59197,-0.955060383,-0.917106699,-0.75640403,1715,0.631210894,-0.876190371,-0.356455491
